fixture_id,fixture_name,threshold,passes,auto_duration_s,opt_duration_s,total_duration_s,vias_before,vias_after,vias_cut,len_before_mm,len_after_mm,len_cut_mm,score_before,score_after,score_gain,incomplete_count,clearance_violations
ili9341_breakout,kicad-projects_ili9341-breakout,1.0,14,0.65,7.77,12.426068400032818,13,0,13,303.22,262.0,41.22000000000003,414.47,842.11,427.64,0,0
autosave_postcard,kitspace__autosave-postcard,1.0,10,0.5,18.35,23.290427499974612,16,4,12,543.24,529.15,14.090000000000032,658.16,918.37,260.21000000000004,0,0
neowall,NeoWall_NeoWall,1.0,13,0.93,18.96,23.692331500002183,15,2,13,573.25,587.46,-14.210000000000036,320.51,689.61,369.1,0,0
chaos_looper,kitspace_ChaosLooper,1.0,8,1.01,28.11,33.277888800017536,19,8,11,860.16,880.79,-20.629999999999995,675.93,814.81,138.88,0,0
motor_controllers,newer-motor-controllers_design3,1.0,2,0.94,14.58,19.968020299973432,33,26,7,553.4,543.26,10.139999999999986,828.48,863.25,34.76999999999998,0,4
ili9341_breakout,kicad-projects_ili9341-breakout,1.2,14,0.7,7.42,12.143865599995479,13,0,13,303.22,262.0,41.22000000000003,414.47,842.11,427.64,0,0
autosave_postcard,kitspace__autosave-postcard,1.2,10,0.59,18.34,23.521435600006953,16,4,12,543.24,529.15,14.090000000000032,658.16,918.37,260.21000000000004,0,0
neowall,NeoWall_NeoWall,1.2,13,0.98,18.59,23.235459799994715,15,2,13,573.25,587.46,-14.210000000000036,320.51,689.61,369.1,0,0
chaos_looper,kitspace_ChaosLooper,1.2,7,1.29,24.16,29.79556150001008,19,8,11,860.16,880.79,-20.629999999999995,675.93,814.81,138.88,0,0
motor_controllers,newer-motor-controllers_design3,1.2,2,1.0,14.51,20.138467999990098,33,26,7,553.4,543.26,10.139999999999986,828.48,863.25,34.76999999999998,0,4
ili9341_breakout,kicad-projects_ili9341-breakout,1.5,14,0.72,7.36,12.280249600007664,13,0,13,303.22,262.0,41.22000000000003,414.47,842.11,427.64,0,0
autosave_postcard,kitspace__autosave-postcard,1.5,10,0.61,19.09,24.14209620002657,16,4,12,543.24,529.15,14.090000000000032,658.16,918.37,260.21000000000004,0,0
neowall,NeoWall_NeoWall,1.5,13,1.01,18.53,23.208087099948898,15,2,13,573.25,587.46,-14.210000000000036,320.51,689.61,369.1,0,0
chaos_looper,kitspace_ChaosLooper,1.5,4,1.12,14.8,20.22451989998808,19,11,8,860.16,877.88,-17.720000000000027,675.93,777.78,101.85000000000002,0,0
motor_controllers,newer-motor-controllers_design3,1.5,2,1.03,14.47,20.028918700001668,33,26,7,553.4,543.26,10.139999999999986,828.48,863.25,34.76999999999998,0,4
ili9341_breakout,kicad-projects_ili9341-breakout,1.8,14,0.81,7.32,12.186115899996366,13,0,13,303.22,262.0,41.22000000000003,414.47,842.11,427.64,0,0
autosave_postcard,kitspace__autosave-postcard,1.8,10,0.63,18.3,23.059638099977747,16,4,12,543.24,529.15,14.090000000000032,658.16,918.37,260.21000000000004,0,0
neowall,NeoWall_NeoWall,1.8,13,1.12,18.57,23.528255700017326,15,2,13,573.25,587.46,-14.210000000000036,320.51,689.61,369.1,0,0
chaos_looper,kitspace_ChaosLooper,1.8,4,1.2,14.74,20.10104749997845,19,11,8,860.16,877.88,-17.720000000000027,675.93,777.78,101.85000000000002,0,0
motor_controllers,newer-motor-controllers_design3,1.8,2,1.02,14.91,20.643844300007913,33,26,7,553.4,543.26,10.139999999999986,828.48,863.25,34.76999999999998,0,4
ili9341_breakout,kicad-projects_ili9341-breakout,2.0,14,0.77,7.27,11.829316099989228,13,0,13,303.22,262.0,41.22000000000003,414.47,842.11,427.64,0,0
autosave_postcard,kitspace__autosave-postcard,2.0,10,0.61,18.11,23.129117299977224,16,4,12,543.24,529.15,14.090000000000032,658.16,918.37,260.21000000000004,0,0
neowall,NeoWall_NeoWall,2.0,13,1.01,18.55,23.223215899954084,15,2,13,573.25,587.46,-14.210000000000036,320.51,689.61,369.1,0,0
chaos_looper,kitspace_ChaosLooper,2.0,4,1.22,14.9,20.203417200013064,19,11,8,860.16,877.88,-17.720000000000027,675.93,777.78,101.85000000000002,0,0
motor_controllers,newer-motor-controllers_design3,2.0,2,1.04,14.7,20.322183500044048,33,26,7,553.4,543.26,10.139999999999986,828.48,863.25,34.76999999999998,0,4
ili9341_breakout,kicad-projects_ili9341-breakout,2.2,6,0.79,3.21,7.6835583000211045,13,7,6,303.22,264.3,38.920000000000016,414.47,644.74,230.26999999999998,0,0
autosave_postcard,kitspace__autosave-postcard,2.2,10,0.61,18.25,23.058491999981925,16,4,12,543.24,529.15,14.090000000000032,658.16,918.37,260.21000000000004,0,0
neowall,NeoWall_NeoWall,2.2,11,0.97,15.6,20.225874800002202,15,3,12,573.25,580.48,-7.230000000000018,320.51,689.04,368.53,0,0
chaos_looper,kitspace_ChaosLooper,2.2,4,1.19,14.78,20.137406900001224,19,11,8,860.16,877.88,-17.720000000000027,675.93,777.78,101.85000000000002,0,0
motor_controllers,newer-motor-controllers_design3,2.2,2,1.03,14.65,20.37595739995595,33,26,7,553.4,543.26,10.139999999999986,828.48,863.25,34.76999999999998,0,4
ili9341_breakout,kicad-projects_ili9341-breakout,2.5,6,0.82,3.25,8.197601600026246,13,7,6,303.22,264.3,38.920000000000016,414.47,644.74,230.26999999999998,0,0
autosave_postcard,kitspace__autosave-postcard,2.5,10,0.63,18.27,22.971811799972784,16,4,12,543.24,529.15,14.090000000000032,658.16,918.37,260.21000000000004,0,0
neowall,NeoWall_NeoWall,2.5,11,1.03,15.82,20.883810300030746,15,3,12,573.25,580.48,-7.230000000000018,320.51,689.04,368.53,0,0
chaos_looper,kitspace_ChaosLooper,2.5,4,1.2,15.01,20.734607700025663,19,11,8,860.16,877.88,-17.720000000000027,675.93,777.78,101.85000000000002,0,0
motor_controllers,newer-motor-controllers_design3,2.5,2,1.08,14.75,20.2603444000124,33,26,7,553.4,543.26,10.139999999999986,828.48,863.25,34.76999999999998,0,4
ili9341_breakout,kicad-projects_ili9341-breakout,3.0,6,0.77,3.17,8.26842029998079,13,7,6,303.22,264.3,38.920000000000016,414.47,644.74,230.26999999999998,0,0
autosave_postcard,kitspace__autosave-postcard,3.0,5,0.59,10.63,15.424201300018467,16,7,9,543.24,535.64,7.600000000000023,658.16,811.22,153.06000000000006,0,0
neowall,NeoWall_NeoWall,3.0,11,1.05,15.74,20.544245400000364,15,3,12,573.25,580.48,-7.230000000000018,320.51,689.04,368.53,0,0
chaos_looper,kitspace_ChaosLooper,3.0,4,1.16,14.84,20.20179579994874,19,11,8,860.16,877.88,-17.720000000000027,675.93,777.78,101.85000000000002,0,0
motor_controllers,newer-motor-controllers_design3,3.0,2,1.01,14.94,20.570934599963948,33,26,7,553.4,543.26,10.139999999999986,828.48,863.25,34.76999999999998,0,4
ili9341_breakout,kicad-projects_ili9341-breakout,3.5,6,0.77,3.26,7.696192399947904,13,7,6,303.22,264.3,38.920000000000016,414.47,644.74,230.26999999999998,0,0
autosave_postcard,kitspace__autosave-postcard,3.5,5,0.64,10.74,15.481708300008904,16,7,9,543.24,535.64,7.600000000000023,658.16,811.22,153.06000000000006,0,0
neowall,NeoWall_NeoWall,3.5,9,1.03,12.89,17.87780010001734,15,5,10,573.25,568.07,5.17999999999995,320.51,652.23,331.72,0,0
chaos_looper,kitspace_ChaosLooper,3.5,4,1.15,14.85,20.10245790000772,19,11,8,860.16,877.88,-17.720000000000027,675.93,777.78,101.85000000000002,0,0
motor_controllers,newer-motor-controllers_design3,3.5,1,1.02,7.7,13.420596799987834,33,29,4,553.4,543.13,10.269999999999982,828.48,854.7,26.220000000000027,0,4
ili9341_breakout,kicad-projects_ili9341-breakout,4.0,6,0.8,3.15,7.680885000037961,13,7,6,303.22,264.3,38.920000000000016,414.47,644.74,230.26999999999998,0,0
autosave_postcard,kitspace__autosave-postcard,4.0,5,0.61,10.71,15.343969799985643,16,7,9,543.24,535.64,7.600000000000023,658.16,811.22,153.06000000000006,0,0
neowall,NeoWall_NeoWall,4.0,9,0.96,13.34,17.914621500007343,15,5,10,573.25,568.07,5.17999999999995,320.51,652.23,331.72,0,0
chaos_looper,kitspace_ChaosLooper,4.0,4,1.22,15.07,20.199851499986835,19,11,8,860.16,877.88,-17.720000000000027,675.93,777.78,101.85000000000002,0,0
motor_controllers,newer-motor-controllers_design3,4.0,1,1.02,7.56,13.390444699965883,33,29,4,553.4,543.13,10.269999999999982,828.48,854.7,26.220000000000027,0,4
