relative_path,autorouter_duration_seconds,cpu_seconds,estimated_cpu_seconds,board_area_cm2,layer_count,net_count,component_count,pin_count
PCBench/abus-cfa1000-display-grabber_acs-display-grabber/unrouted.dsn,92.651,55.9375,45.8012,100.0,2,21,47,242
PCBench/ADC-PCM4202_ADC-PCM4202/unrouted.dsn,134.062,85.96875,94.9084,100.0,2,61,237,545
PCBench/ADC-PCM4202-SE_ADC-PCM4202-SE/unrouted.dsn,193.611,106.859375,90.3704,100.0,2,59,230,517
PCBench/BirthdayCakeKeyboard_10Key/unrouted.dsn,115.265,83.82812,54.2749,74.83,2,50,65,274
PCBench/bobc_mbeduinopresso/unrouted.dsn,98.73,74.625,52.0371,87.0,2,0,37,270
PCBench/Brushless_ESC_Brushless_ESC/unrouted.dsn,50.62,43.531254,52.1724,22.68,2,26,77,219
PCBench/BUF-DiffToSE-ADAU1966_BUF-DiffToSE-ADAU1966/unrouted.dsn,62.866,51.468754,71.7324,100.0,2,64,165,402
PCBench/DerKnopf_led-ring/unrouted.dsn,103.438,40.265625,31.9171,2.8,2,0,33,78
PCBench/digital_clock_led_clock_3_and_4_digit/unrouted.dsn,91.411,51.89063,55.1709,154.83,2,52,138,344
PCBench/digital_clock_led_clock_v1/unrouted.dsn,112.97,51.703125,52.6955,155.17,2,58,138,329
PCBench/DAC-ADAU1966_DAC-ADAU1966/unrouted.dsn,567.626,300.17188,266.2164,100.0,4,113,306,801
PCBench/guitar_fret/unrouted.dsn,302.402,52.828125,43.4656,0.0,2,13,51,147
PCBench/Hangul-Clock_Hangul/unrouted.dsn,105.334,82.25,52.3818,98.01,2,65,87,281
PCBench/Hardware_Playground_BL_PCB_latest/unrouted.dsn,41.476,30.140623,65.5089,91.81,2,0,159,357
PCBench/Hardware_Playground_serial_gw_maple_mini/unrouted.dsn,38.501,31.375,54.6137,35.01,2,33,189,244
PCBench/Hardware_Playground_usb_shield/unrouted.dsn,53.15,37.968746,55.9548,21.02,2,0,201,241
PCBench/HW-AC-Emeter_ac-power-monitor/unrouted.dsn,84.836,44.20313,38.0696,50.0,2,20,62,154
PCBench/hwstar_ac-power-monitor/unrouted.dsn,47.395,30.703123,38.0696,50.0,2,20,62,154
PCBench/ipod-serial-adapter_s1_ipod_serial/unrouted.dsn,66.43,40.796875,47.9039,10.69,2,12,36,183
PCBench/kassenautomat.mdb-interface_mdb-interface/unrouted.dsn,56.353,42.75,47.7460,100.0,2,45,80,254
PCBench/kitspace_aquarius/unrouted.dsn,96.012,71.84375,47.4261,88.8,2,34,79,243
PCBench/kitspace_Control%20Board/unrouted.dsn,68.315,50.468746,59.6422,269.5,2,112,90,464
PCBench/kitspace_neotron-32/unrouted.dsn,132.475,97.21875,140.9982,234.78,4,118,97,469
PCBench/kitspace_Potentiometer_mount_24LED/unrouted.dsn,49.674,30.109373,32.2418,52.43,2,72,27,120
PCBench/kitspace_T32_ref/unrouted.dsn,160.501,123.296875,90.2140,18.06,4,7,89,225
PCBench/klangorium_logic_noise_playground/unrouted.dsn,121.054,72.34375,92.5439,200.0,2,45,160,611
PCBench/LogicBoxen_LogicBoxen/unrouted.dsn,56.356,38.765625,45.8800,17.5,2,37,47,176
PCBench/mini_ice40_mini_ice40/unrouted.dsn,46.763,41.015625,88.6832,0.0,4,79,33,213
PCBench/recalbox-gpio-board__autosave-board/unrouted.dsn,110.75,82.296875,39.9453,182.06,2,26,123,272
PCBench/recalbox-gpio-board_board/unrouted.dsn,120.632,71.43751,39.9453,182.06,2,26,123,272
PCBench/rfcx-sentinel-pcb_Mainboard/unrouted.dsn,113.653,67.65625,62.2823,53.23,2,59,102,306
PCBench/shieldfoxuino_sigfoxuino - sauvegarde/unrouted.dsn,64.065,50.156246,47.3953,36.92,2,0,43,201
PCBench/SimpleCPLD_SimpleCPLD/unrouted.dsn,241.39,42.156246,55.3708,9.36,4,4,16,114
PCBench/Usb_dac_dac/unrouted.dsn,42.344,30.0625,54.2082,74.1,2,57,91,273
PCBench/WHCS-Base-Station_base-station/unrouted.dsn,94.335,51.0625,41.4753,74.8,2,0,69,195
PCBench/wordclock_ledboard2/unrouted.dsn,67.572,41.593746,51.4763,273.7,2,100,109,417
