relative_path,board,tier,run_at,optimizer_cpu_seconds,optimizer_passes,score_before,score_after,delta,dL_before,dV_before,dB_before,dL_after,dV_after,dB_after,D,incomplete_after,drc_after,Lmin,Vmin,Bmin
PCBench/4_digit_hex_display_4_digit_display/unrouted.dsn,4_digit_hex_display_4_digit_display,C,2026-09-09T06:45:13.469229+00:00,12.14,1,132.12,132.12,0.0,143.15,234.04,490.69,143.15,234.04,490.69,376.0,3.0,0.0,1401.79,14,75
PCBench/BirthdayCakeKeyboard_10Key/unrouted.dsn,BirthdayCakeKeyboard_10Key,B,2026-09-08T21:27:12.432703+00:00,201.67,1,151.47,151.47,0.0,8.2,248.18,592.15,8.2,248.18,592.15,548.0,0.0,0.0,3862.58,4,140
PCBench/abus-cfa1000-display-grabber_acs-display-grabber/unrouted.dsn,abus-cfa1000-display-grabber_acs-display-grabber,B,2026-09-09T05:39:53.994266+00:00,449.59,1,207.11,207.11,0.0,42.89,462.81,287.19,42.89,462.81,287.19,484.0,0.0,0.0,3234.33,0,111
PCBench/blackmagic-isolated_mmp/unrouted.dsn,blackmagic-isolated_mmp,B,2026-09-08T21:28:58.352882+00:00,311.2,1,197.84,261.05,63.21,311.66,259.49,231.01,284.83,240.51,213.61,316.0,0.0,7.0,514.51,6,77
PCBench/ESP32-Module-Breakout_ESP32S-breakout/unrouted.dsn,ESP32-Module-Breakout_ESP32S-breakout,A,2026-09-09T06:22:57.618727+00:00,61.61,2,294.12,373.53,79.41,0.0,317.65,388.24,0.0,270.59,355.88,170.0,0.0,0.0,765.21,0,44
PCBench/bldc-gimbal-1d_gimbal-board/unrouted.dsn,bldc-gimbal-1d_gimbal-board,B,2026-09-08T21:28:51.688794+00:00,236.34,2,377.57,377.57,0.0,155.37,217.05,250.0,155.37,217.05,250.0,258.0,0.0,0.0,773.31,5,62
PCBench/spisolator_spisolator/unrouted.dsn,spisolator_spisolator,A,2026-09-09T06:31:59.925288+00:00,23.88,2,382.07,382.07,0.0,163.38,250.0,204.55,163.38,250.0,204.55,88.0,0.0,0.0,210.12,0,22
PCBench/kitspace_esp8266-12-breakout/unrouted.dsn,kitspace_esp8266-12-breakout,A,2026-09-09T06:26:33.247949+00:00,17.19,1,368.29,397.87,29.58,71.23,290.32,270.16,69.87,258.06,274.19,124.0,0.0,0.0,583.35,0,39
PCBench/655_testboard/unrouted.dsn,655_testboard,B,2026-09-09T05:31:01.120984+00:00,128.39,2,404.29,404.29,0.0,71.9,238.1,285.71,71.9,238.1,285.71,210.0,0.0,0.0,934.87,2,52
PCBench/beryl_rain_beryl_rain/unrouted.dsn,beryl_rain_beryl_rain,A,2026-09-09T06:20:09.934212+00:00,48.23,2,438.87,438.87,0.0,45.75,292.31,223.08,45.75,292.31,223.08,130.0,0.0,0.0,461.47,0,33
PCBench/kitspace_push-on-hold-off/unrouted.dsn,kitspace_push-on-hold-off,A,2026-09-09T06:27:06.844779+00:00,16.13,1,306.06,442.51,136.45,279.05,191.49,223.4,254.3,148.94,154.26,94.0,0.0,0.0,172.55,2,32
PCBench/breakout-boards_swd-and-uart/unrouted.dsn,breakout-boards_swd-and-uart,A,2026-09-09T06:20:36.794627+00:00,0.91,1,384.74,443.66,58.93,234.83,86.96,293.48,197.64,86.96,271.74,46.0,0.0,0.0,100.84,0,3
PCBench/z2amiller_sensorboard/unrouted.dsn,z2amiller_sensorboard,A,2026-09-09T06:33:13.562751+00:00,53.98,1,413.63,444.32,30.7,169.71,269.23,147.44,164.65,243.59,147.44,156.0,0.0,0.0,364.04,0,49
PCBench/Amiga-A1012-PCB_Amiga-A1012/unrouted.dsn,Amiga-A1012-PCB_Amiga-A1012,B,2026-09-09T05:42:18.308112+00:00,216.78,1,424.33,450.02,25.69,75.67,319.73,180.27,61.88,306.12,181.97,294.0,0.0,0.0,1622.31,0,56
PCBench/badge2015_badge2015/unrouted.dsn,badge2015_badge2015,B,2026-09-09T06:06:09.365861+00:00,31.67,1,451.32,451.32,0.0,0.0,242.11,306.58,0.0,242.11,306.58,380.0,4.0,0.0,1894.69,0,96
PCBench/C-BISCUIT_crowbar/unrouted.dsn,C-BISCUIT_crowbar,A,2026-09-09T06:20:57.825376+00:00,2.55,1,336.5,462.63,126.13,330.16,166.67,166.67,276.95,125.0,135.42,48.0,0.0,0.0,109.37,1,15
PCBench/DA_Lamp_attiny44a_servo_i2c/unrouted.dsn,DA_Lamp_attiny44a_servo_i2c,A,2026-09-09T06:21:33.997212+00:00,11.28,2,466.07,466.07,0.0,124.21,250.0,159.72,124.21,250.0,159.72,72.0,0.0,0.0,164.16,0,15
PCBench/anima_MotorDrive/unrouted.dsn,anima_MotorDrive,B,2026-09-09T05:47:01.337134+00:00,264.88,1,459.55,469.61,10.06,157.6,144.93,237.92,157.2,135.27,237.92,414.0,0.0,0.0,1417.1,0,93
PCBench/android_debug_cable_android_debug_cable/unrouted.dsn,android_debug_cable_android_debug_cable,B,2026-09-09T05:43:45.569296+00:00,23.83,1,449.61,481.65,32.04,217.05,233.33,100.0,205.85,216.67,95.83,120.0,0.0,8.0,152.59,0,27
PCBench/avr_ledprojector_avr_ledprojection-0402/unrouted.dsn,avr_ledprojector_avr_ledprojection-0402,B,2026-09-09T06:05:53.719623+00:00,69.83,1,484.51,484.51,0.0,217.83,170.57,127.09,217.83,170.57,127.09,598.0,3.0,2.0,678.89,11,112
PCBench/bee-light-measurement-matrix_bee-light-measurement-matrix/unrouted.dsn,bee-light-measurement-matrix_bee-light-measurement-matrix,B,2026-09-09T06:09:49.897667+00:00,9.41,1,511.06,511.06,0.0,0.0,75.22,413.72,0.0,75.22,413.72,452.0,1.0,0.0,2322.83,0,96
PCBench/basic_esp_board_basic_esp_board/unrouted.dsn,basic_esp_board_basic_esp_board,B,2026-09-09T06:06:37.987259+00:00,59.78,1,512.2,522.36,10.16,0.0,235.77,252.03,0.0,227.64,250.0,246.0,0.0,0.0,1278.03,0,69
PCBench/RoBoC_CameraAdaptor/unrouted.dsn,RoBoC_CameraAdaptor,A,2026-09-09T06:29:58.709133+00:00,12.45,2,480.77,528.85,48.08,0.0,96.15,423.08,0.0,57.69,413.46,104.0,0.0,0.0,772.39,0,25
PCBench/Camera-Modules_LG-G2-G3-13M-Breakout/unrouted.dsn,Camera-Modules_LG-G2-G3-13M-Breakout,A,2026-09-09T06:21:26.494945+00:00,21.98,1,460.65,530.6,69.96,71.1,174.6,293.65,9.08,158.73,301.59,126.0,0.0,0.0,794.25,0,28
PCBench/sb-serial-usb_ch340/unrouted.dsn,sb-serial-usb_ch340,A,2026-09-09T06:31:18.086797+00:00,34.0,1,519.45,535.54,16.09,92.73,205.13,182.69,99.08,179.49,185.9,156.0,0.0,0.0,445.81,0,49
PCBench/MAVRIC_Hardware_ArduinoPracticeBoard/unrouted.dsn,MAVRIC_Hardware_ArduinoPracticeBoard,A,2026-09-09T06:27:54.338771+00:00,26.91,1,518.52,537.04,18.52,0.0,222.22,259.26,0.0,209.88,253.09,162.0,0.0,0.0,735.21,0,46
PCBench/APM-RPi-Shield_APM-RPi-Shield/unrouted.dsn,APM-RPi-Shield_APM-RPi-Shield,B,2026-09-09T05:50:40.162155+00:00,17.58,1,537.37,537.37,0.0,83.14,128.21,251.28,83.14,128.21,251.28,390.0,4.0,4.0,1241.81,0,82
PCBench/BB-PWR-3608_BB-PWR-3608_revA/unrouted.dsn,BB-PWR-3608_BB-PWR-3608_revA,B,2026-09-09T06:06:22.301011+00:00,4.95,1,498.52,540.47,41.95,361.78,58.82,80.88,341.89,58.82,58.82,68.0,0.0,17.0,69.38,1,22
PCBench/fuzzer_fuzzer/unrouted.dsn,fuzzer_fuzzer,A,2026-09-09T06:24:13.664613+00:00,13.64,1,543.67,543.67,0.0,82.5,177.57,196.26,82.5,177.57,196.26,214.0,0.0,0.0,506.69,0,48
PCBench/sms-cart-32k_cart/unrouted.dsn,sms-cart-32k_cart,A,2026-09-09T06:31:56.347318+00:00,6.31,1,523.81,547.62,23.81,0.0,214.29,261.9,0.0,202.38,250.0,168.0,0.0,0.0,1016.43,0,32
PCBench/apa102lantern_apa102-lantern-side/unrouted.dsn,apa102lantern_apa102-lantern-side,A,2026-09-09T06:19:33.127632+00:00,8.61,1,517.02,551.14,34.13,71.69,290.32,120.97,69.83,258.06,120.97,124.0,0.0,0.0,530.17,0,12
