relative_path,board,tier,run_at,score_before,score_before_linear,score_after,score_after_linear,score_after_wd1,delta,u_before,u_after,c_after,d_after,d_after_wd1,raw_after,D,incomplete_after,connections,open_frac_before,open_frac_after,drc_after,viol_um_after
PCBench/ArduinoDueClone_ATSAM3X8EA/unrouted.dsn,ArduinoDueClone_ATSAM3X8EA,B,2026-09-09T05:54:50.671994+00:00,0.0,429.2,168.14,584.07,168.14,168.14,1000.0,831.858,0.0,0.0,0.0,168.142,73.09,94.0,226.0,0.5708,0.4159,0.0,0.0
PCBench/Aleste-520EX_aleste/unrouted.dsn,Aleste-520EX_aleste,D,2026-09-09T07:14:57.839279+00:00,0.0,0.0,197.05,552.02,271.12,197.05,1000.0,709.951,18.682,74.319,0.248,197.047,293.06,585.0,1648.0,0.983,0.355,219.0,72600.0
PCBench/Biscay_Blueeye_sipm-fpga/unrouted.dsn,Biscay_Blueeye_sipm-fpga,B,2026-09-08T21:24:56.654445+00:00,253.33,626.67,253.33,626.67,253.33,0.0,746.667,746.667,0.0,0.0,0.0,253.333,48.9,56.0,150.0,0.3733,0.3733,0.0,0.0
PCBench/autohat-board_usd-adapter/unrouted.dsn,autohat-board_usd-adapter,B,2026-09-09T05:55:58.895440+00:00,0.0,125.0,500.0,750.0,500.0,500.0,1000.0,500.0,0.0,0.0,0.0,500.0,21.43,2.0,8.0,0.875,0.25,0.0,0.0
PCBench/AVR-Playground_hello_world/unrouted.dsn,AVR-Playground_hello_world,B,2026-09-09T06:01:32.074321+00:00,0.0,0.0,600.0,800.0,600.0,600.0,1000.0,400.0,0.0,0.0,0.0,600.0,22.3,1.0,5.0,1.0,0.2,0.0,0.0
PCBench/Aria_Aria/unrouted.dsn,Aria_Aria,C,2026-09-09T06:06:00.528070+00:00,385.01,688.42,615.78,803.81,620.5,230.77,606.838,376.068,3.412,4.745,0.016,615.775,73.28,44.0,234.0,0.3034,0.188,10.0,1159.01
PCBench/antdroid-board_antdroid-board/unrouted.dsn,antdroid-board_antdroid-board,B,2026-09-09T05:49:00.446005+00:00,0.0,208.63,683.45,841.73,683.45,683.45,1000.0,316.547,0.0,0.0,0.0,683.453,31.56,22.0,139.0,0.7914,0.1583,0.0,0.0
PCBench/arduino-led-driver_arduino-led-driver/unrouted.dsn,arduino-led-driver_arduino-led-driver,B,2026-09-09T05:53:24.260960+00:00,417.27,708.63,741.01,870.5,741.01,323.74,582.734,258.993,0.0,0.0,0.0,741.007,73.73,36.0,278.0,0.2914,0.1295,0.0,0.0
PCBench/ATMEGA328-Motor-Board_ATMEGA328_Motor_Board/unrouted.dsn,ATMEGA328-Motor-Board_ATMEGA328_Motor_Board,C,2026-09-09T06:08:59.092434+00:00,0.0,383.28,795.14,851.48,859.08,795.14,1000.0,112.676,28.031,64.15,0.214,795.142,110.59,28.0,497.0,0.5252,0.0563,124.0,23648.0
PCBench/blinky-badge_blinky/unrouted.dsn,blinky-badge_blinky,B,2026-09-08T21:29:31.538682+00:00,518.82,667.75,816.69,816.69,885.2,297.87,297.872,0.0,114.569,68.741,0.229,816.69,35.35,0.0,94.0,0.1489,0.0,162.0,8100.0
PCBench/74Logic_SA_ADC_SA-ADC/unrouted.dsn,74Logic_SA_ADC_SA-ADC,C,2026-09-09T06:55:06.814039+00:00,274.04,628.95,818.69,901.27,827.46,544.64,709.821,165.179,7.335,8.802,0.029,818.685,109.07,37.0,448.0,0.3549,0.0826,32.0,3200.0
PCBench/ABOVISP_ABOVISP/unrouted.dsn,ABOVISP_ABOVISP,B,2026-09-09T05:34:37.386613+00:00,48.32,467.68,822.52,854.78,882.61,774.19,838.71,64.516,52.669,60.298,0.201,822.517,28.48,1.0,31.0,0.4194,0.0323,60.0,5724.29
PCBench/BeaconBuddy_BeaconBuddy/unrouted.dsn,BeaconBuddy_BeaconBuddy,B,2026-09-08T21:25:00.399335+00:00,0.0,396.15,863.54,868.97,927.0,863.54,956.522,10.87,61.918,63.674,0.212,863.539,56.93,1.0,184.0,0.4783,0.0054,141.0,12083.11
PCBench/akuhei_akuhei/unrouted.dsn,akuhei_akuhei,B,2026-09-09T05:40:07.255982+00:00,0.0,444.44,888.89,944.44,888.89,888.89,1000.0,111.111,0.0,0.0,0.0,888.889,28.97,2.0,36.0,0.5556,0.0556,0.0,0.0
PCBench/96boards-sensors_Sensors/unrouted.dsn,96boards-sensors_Sensors,B,2026-09-09T06:44:55.116883+00:00,0.0,397.11,898.92,949.46,898.92,898.92,1000.0,101.083,0.0,0.0,0.0,898.917,76.28,14.0,277.0,0.6029,0.0505,0.0,0.0
PCBench/BB-PWR-8113_BB-PWR-8113_revA/unrouted.dsn,BB-PWR-8113_BB-PWR-8113_revA,B,2026-09-09T06:06:41.414731+00:00,204.48,586.83,910.36,939.77,926.93,705.88,764.706,58.824,14.194,16.62,0.055,910.363,26.42,1.0,34.0,0.3824,0.0294,15.0,1463.66
PCBench/Atmel-ICE-Header-Adapter_ice header adapter pcb/unrouted.dsn,Atmel-ICE-Header-Adapter_ice header adapter pcb,B,2026-09-09T05:55:17.754240+00:00,0.0,0.0,915.49,957.75,915.49,915.49,1000.0,84.507,0.0,0.0,0.0,915.493,31.14,3.0,71.0,1.0,0.0423,0.0,0.0
PCBench/59pct_keyboard/unrouted.dsn,59pct_keyboard,C,2026-09-09T05:39:44.489650+00:00,0.0,310.35,924.73,937.8,960.62,924.73,1000.0,26.144,13.118,36.013,0.12,924.725,76.23,4.0,306.0,0.6405,0.0131,40.0,9150.84
PCBench/Arduino-Theremin_arduino-theremin-v1/unrouted.dsn,Arduino-Theremin_arduino-theremin-v1,B,2026-09-09T05:48:42.607409+00:00,0.0,0.0,925.93,962.96,925.93,925.93,1000.0,74.074,0.0,0.0,0.0,925.926,25.33,1.0,27.0,1.0,0.037,0.0,0.0
PCBench/badge2015_badge2015/unrouted.dsn,badge2015_badge2015,B,2026-09-09T06:06:09.365861+00:00,0.0,357.8,926.61,963.3,926.61,926.61,1000.0,73.394,0.0,0.0,0.0,926.606,42.77,4.0,109.0,0.6422,0.0367,0.0,0.0
PCBench/Biscay_Blueeye_sipm-comp/unrouted.dsn,Biscay_Blueeye_sipm-comp,B,2026-09-08T21:28:31.007220+00:00,192.12,596.06,931.03,965.52,931.03,738.92,807.882,68.966,0.0,0.0,0.0,931.034,61.54,7.0,203.0,0.4039,0.0345,0.0,0.0
PCBench/APM-RPi-Shield_APM-RPi-Shield/unrouted.dsn,APM-RPi-Shield_APM-RPi-Shield,B,2026-09-09T05:50:40.162155+00:00,0.0,333.07,933.07,965.07,933.93,933.07,1000.0,64.0,2.064,0.865,0.003,933.071,48.44,4.0,125.0,0.664,0.032,4.0,139.62
PCBench/4_digit_hex_display_4_digit_display/unrouted.dsn,4_digit_hex_display_4_digit_display,C,2026-09-09T06:45:13.469229+00:00,0.0,425.93,944.44,972.22,944.44,944.44,1000.0,55.556,0.0,0.0,0.0,944.444,48.31,3.0,108.0,0.5741,0.0278,0.0,0.0
PCBench/arf154_arf154/unrouted.dsn,arf154_arf154,B,2026-09-09T06:47:32.999763+00:00,307.67,626.35,945.03,945.03,946.63,637.36,637.363,0.0,53.368,1.603,0.005,945.029,57.15,0.0,91.0,0.3187,0.0,122.0,305.28
PCBench/BB-PWR-3608_BB-PWR-3608_revA/unrouted.dsn,BB-PWR-3608_BB-PWR-3608_revA,B,2026-09-09T06:06:22.301011+00:00,485.03,715.8,946.57,946.57,982.82,461.54,461.538,0.0,17.061,36.368,0.121,946.571,24.91,0.0,26.0,0.2308,0.0,17.0,3019.74
PCBench/ATtiny461Breakout_ATTiny461DevBoard/unrouted.dsn,ATtiny461Breakout_ATTiny461DevBoard,B,2026-09-09T05:55:24.219817+00:00,473.68,736.84,947.37,973.68,947.37,473.68,526.316,52.632,0.0,0.0,0.0,947.368,27.98,1.0,38.0,0.2632,0.0263,0.0,0.0
PCBench/atmegax8-protoboard_atmegax8-protoboard/unrouted.dsn,atmegax8-protoboard_atmegax8-protoboard,B,2026-09-09T05:54:05.475548+00:00,0.0,0.0,951.37,951.37,952.46,951.37,1000.0,0.0,47.538,1.088,0.004,951.374,29.45,0.0,42.0,1.0,0.0,56.0,106.81
PCBench/BB-PWR-8009_BB-PWR-8009_revA/unrouted.dsn,BB-PWR-8009_BB-PWR-8009_revA,B,2026-09-09T06:06:31.126873+00:00,603.88,777.79,951.71,951.71,981.28,347.83,347.826,0.0,18.626,29.667,0.099,951.708,24.16,0.0,23.0,0.1739,0.0,18.0,2389.15
PCBench/beer-gauge_beer-gauge/unrouted.dsn,beer-gauge_beer-gauge,B,2026-09-09T06:50:46.015259+00:00,100.68,546.83,951.96,972.47,953.24,851.28,892.308,41.026,5.731,1.285,0.004,951.958,109.05,4.0,195.0,0.4462,0.0205,25.0,466.97
PCBench/analog_esr_meter_esr_meter_rev_b/unrouted.dsn,analog_esr_meter_esr_meter_rev_b,C,2026-09-09T05:42:25.478293+00:00,0.0,63.35,956.79,956.79,989.36,956.79,1000.0,0.0,10.526,32.681,0.109,956.792,38.0,0.0,122.0,0.8934,0.0,16.0,4139.62
PCBench/bmw-ibus-bluetooth_bmw_bt_cdcemu_analog/unrouted.dsn,bmw-ibus-bluetooth_bmw_bt_cdcemu_analog,B,2026-09-08T21:30:22.585474+00:00,450.31,718.6,962.5,974.7,972.8,512.2,536.585,24.39,2.778,10.33,0.034,962.502,36.0,1.0,82.0,0.2683,0.0122,4.0,1239.62
PCBench/analogevse_AnalogEVSE/unrouted.dsn,analogevse_AnalogEVSE,B,2026-09-09T05:43:38.411312+00:00,0.0,0.0,966.14,966.14,992.45,966.14,1000.0,0.0,7.459,26.405,0.088,966.136,40.22,0.0,148.0,0.9865,0.0,12.0,3540.0
PCBench/avr-fuser-32_hvpp/unrouted.dsn,avr-fuser-32_hvpp,B,2026-09-09T06:00:53.190694+00:00,0.0,488.55,969.47,984.73,969.47,969.47,1000.0,30.534,0.0,0.0,0.0,969.466,45.38,2.0,131.0,0.5115,0.0153,0.0,0.0
PCBench/AVR-ISP_level-shifter_AVR-ISP_level-shifter/unrouted.dsn,AVR-ISP_level-shifter_AVR-ISP_level-shifter,B,2026-09-09T06:01:17.664345+00:00,121.21,560.61,969.7,984.85,969.7,848.48,878.788,30.303,0.0,0.0,0.0,969.697,32.24,1.0,66.0,0.4394,0.0152,0.0,0.0
PCBench/96boards-robomezzi_96boards-robomezzi/unrouted.dsn,96boards-robomezzi_96boards-robomezzi,C,2026-09-09T06:54:23.703615+00:00,0.0,448.81,970.09,984.27,970.62,970.09,1000.0,28.369,1.007,0.538,0.002,970.087,149.02,4.0,282.0,0.5496,0.0142,6.0,267.2
PCBench/BlueBerry-Zero_blueberry/unrouted.dsn,BlueBerry-Zero_blueberry,B,2026-09-08T21:30:22.966139+00:00,417.74,704.78,973.3,982.55,977.38,555.56,574.074,18.519,4.084,4.102,0.014,973.295,48.97,1.0,108.0,0.287,0.0093,8.0,669.61
PCBench/Biscay_Blueeye_sipm/unrouted.dsn,Biscay_Blueeye_sipm,C,2026-09-08T21:30:59.870603+00:00,483.66,741.83,973.86,986.93,973.86,490.2,516.34,26.144,0.0,0.0,0.0,973.856,80.33,4.0,306.0,0.2582,0.0131,0.0,0.0
PCBench/avr-fuser-32_adapter/unrouted.dsn,avr-fuser-32_adapter,B,2026-09-09T06:02:31.772657+00:00,0.0,25.32,974.68,987.34,974.68,974.68,1000.0,25.316,0.0,0.0,0.0,974.684,42.53,2.0,158.0,0.9747,0.0127,0.0,0.0
PCBench/battmanpi_battmanpi/unrouted.dsn,battmanpi_battmanpi,B,2026-09-09T06:07:26.472747+00:00,0.0,0.0,974.78,981.36,981.33,974.78,1000.0,13.158,5.485,6.576,0.022,974.781,54.69,1.0,152.0,1.0,0.0066,12.0,1198.82
PCBench/Avem_Hardware_Avem_demo/unrouted.dsn,Avem_Hardware_Avem_demo,B,2026-09-09T05:57:22.644075+00:00,100.0,550.0,975.0,987.5,975.0,875.0,900.0,25.0,0.0,0.0,0.0,975.0,39.18,1.0,80.0,0.45,0.0125,0.0,0.0
PCBench/AVR-ISP_pogo-plug_1.27mm_AVR-ISP_pogo-plug_1.27mm/unrouted.dsn,AVR-ISP_pogo-plug_1.27mm_AVR-ISP_pogo-plug_1.27mm,B,2026-09-09T06:01:19.318291+00:00,643.17,809.84,976.5,976.5,986.06,333.33,333.333,0.0,13.905,9.592,0.032,976.502,25.17,0.0,18.0,0.1667,0.0,14.0,804.78
PCBench/ChirpHardware_chirp/unrouted.dsn,ChirpHardware_chirp,B,2026-09-09T06:49:10.709781+00:00,356.51,676.51,976.51,986.51,977.81,620.0,640.0,20.0,2.184,1.308,0.004,976.508,68.67,1.0,100.0,0.32,0.01,6.0,299.4
PCBench/avr_ledprojector_avr_ledprojection/unrouted.dsn,avr_ledprojector_avr_ledprojection,B,2026-09-09T06:03:25.226945+00:00,588.57,794.29,977.14,988.57,977.14,388.57,411.429,22.857,0.0,0.0,0.0,977.143,63.64,2.0,175.0,0.2057,0.0114,0.0,0.0
PCBench/analog_esr_meter_esr_meter_rev_a/unrouted.dsn,analog_esr_meter_esr_meter_rev_a,C,2026-09-09T05:41:06.396336+00:00,0.0,62.47,982.83,982.83,997.19,982.83,1000.0,0.0,2.762,14.413,0.048,982.826,36.21,0.0,113.0,0.9204,0.0,4.0,1739.62
PCBench/beer-gauge_sensorboard/unrouted.dsn,beer-gauge_sensorboard,B,2026-09-09T06:08:09.858420+00:00,573.42,778.55,983.68,983.68,988.78,410.26,410.256,0.0,11.202,5.122,0.017,983.676,26.78,0.0,39.0,0.2051,0.0,12.0,457.2
PCBench/1Bitsy_1bitsy/unrouted.dsn,1Bitsy_1bitsy,B,2026-09-09T06:44:49.618560+00:00,0.0,465.13,983.88,983.88,987.62,983.88,1000.0,0.0,12.364,3.755,0.013,983.881,90.99,0.0,160.0,0.5188,0.0,45.0,1138.78
PCBench/Apple-M0110-BT_Apple M0110/unrouted.dsn,Apple-M0110-BT_Apple M0110,C,2026-09-09T05:53:00.801393+00:00,0.0,0.0,985.61,985.61,994.88,985.61,1000.0,0.0,5.088,9.305,0.031,985.608,39.31,0.0,224.0,1.0,0.0,8.0,1219.2
PCBench/audio_relay_input_switch_relay_switch/unrouted.dsn,audio_relay_input_switch_relay_switch,B,2026-09-09T05:55:31.774675+00:00,0.0,157.01,986.28,986.28,992.62,986.28,1000.0,0.0,7.36,6.357,0.021,986.283,30.57,0.0,41.0,0.8293,0.0,9.0,647.74
PCBench/blackmagic-isolated_mmp/unrouted.dsn,blackmagic-isolated_mmp,B,2026-09-08T21:28:58.352882+00:00,320.24,653.57,986.9,986.9,996.01,666.67,666.667,0.0,3.957,9.141,0.03,986.902,44.22,0.0,93.0,0.3333,0.0,7.0,1347.31
PCBench/ATmega32_ExploreUltraAvrDevKit__autosave-MCU_BaseBoard/unrouted.dsn,ATmega32_ExploreUltraAvrDevKit__autosave-MCU_BaseBoard,C,2026-09-09T06:01:20.377367+00:00,0.0,210.67,987.62,992.63,989.39,987.62,1000.0,10.025,0.583,1.776,0.006,987.616,85.79,2.0,399.0,0.787,0.005,2.0,508.0
PCBench/avr_ledprojector_avr_ledprojection-0402/unrouted.dsn,avr_ledprojector_avr_ledprojection-0402,B,2026-09-09T06:05:53.719623+00:00,544.69,771.96,987.87,993.55,987.89,443.18,454.545,11.364,0.747,0.017,0.0,987.872,66.91,1.0,176.0,0.2273,0.0057,2.0,3.81
PCBench/bee-light-measurement-matrix_bee-light-measurement-matrix/unrouted.dsn,bee-light-measurement-matrix_bee-light-measurement-matrix,B,2026-09-09T06:09:49.897667+00:00,0.0,0.0,987.88,993.94,987.88,987.88,1000.0,12.121,0.0,0.0,0.0,987.879,51.13,1.0,165.0,1.0,0.0061,0.0,0.0
PCBench/dorkyboard_keyboard/unrouted.dsn,dorkyboard_keyboard,D,2026-09-09T07:19:28.170812+00:00,0.0,356.63,987.95,993.98,987.95,987.95,1000.0,12.048,0.0,0.0,0.0,987.952,112.22,5.0,830.0,0.6434,0.006,0.0,0.0
