relative_path,native_score,v2_router_after,v2_optimizer_after,v2_optimizer_before,unrouted,drc,min_trace_length_mm,min_via_count,min_bend_count,difficulty_d
PCBench/kitspace_4_switch_array/unrouted.dsn,999.99,1000.0,999.8,999.8,0.0,0.0,329.02,0,13,80.0
PCBench/MAVRIC_Hardware_ArduinoPracticeBoard/unrouted.dsn,983.5,942.31,999.53,999.53,3.0,0.0,735.21,0,46,162.0
PCBench/autohat-board_inverted-usd-adapter/unrouted.dsn,999.99,1000.0,999.84,999.78,0.0,0.0,240.26,0,8,32.0
PCBench/DiscoDanceFloorV1_BusTerminator/unrouted.dsn,979.16,944.44,999.62,999.62,1.0,0.0,79.89,0,14,54.0
PCBench/kitspace_hum_temp_sensor/unrouted.dsn,999.99,1000.0,1000.0,999.91,0.0,0.0,107.12,0,9,32.0
PCBench/kitspace_power_supply/unrouted.dsn,999.99,1000.0,999.74,999.72,0.0,0.0,322.22,0,18,74.0
PCBench/ATmega32_ExploreUltraAvrDevKit_40pin_AVRMCU/unrouted.dsn,996.16,988.24,999.74,999.74,1.0,0.0,1200.15,0,65,250.0
PCBench/rufs__autosave-simple_kicad_schema_and_pcb_v1/unrouted.dsn,999.99,1000.0,999.83,999.83,0.0,0.0,50.8,0,1,12.0
PCBench/nRF24breakoutBoard_nRF24-breakout/unrouted.dsn,959.99,900.0,999.53,999.53,1.0,0.0,110.16,0,10,36.0
PCBench/breakout-boards_swd-and-uart/unrouted.dsn,999.98,1000.0,999.26,999.13,0.0,0.0,100.84,0,3,46.0
PCBench/mini-whip_mini-whip/unrouted.dsn,961.53,892.86,999.93,999.93,3.0,0.0,226.93,1,22,74.0
PCBench/rgb-strip-controller__autosave-rgb-strip/unrouted.dsn,988.5,974.36,999.83,999.83,1.0,0.0,454.67,0,32,110.0
PCBench/drawduino_drawduino/unrouted.dsn,999.99,1000.0,999.98,999.95,0.0,0.0,218.16,0,14,44.0
PCBench/gwurrbus_gwurrbus-relay/unrouted.dsn,999.99,1000.0,999.85,999.84,0.0,0.0,771.71,0,40,186.0
PCBench/AS5043-Encoder_sensor-board/unrouted.dsn,999.99,1000.0,999.71,999.67,0.0,0.0,234.78,1,25,104.0
PCBench/kika-in-space_analog-test-board/unrouted.dsn,999.99,1000.0,999.46,999.45,0.0,0.0,133.01,0,26,86.0
