=== Issue508-DAC2020_bm01 ===
Running current:
  java  -jar  build/libs/freerouting-current-executable.jar  -de  fixtures/Issue508-DAC2020_bm01.dsn  -do  tmp-compare/dac-suite/Issue508-DAC2020_bm01-current.ses  --gui.enabled=false  --api_server.enabled=false  --mcp_server.enabled=false  --router.fanout.enabled=true  --router.optimizer.enabled=false  --router.max_passes=5  --router.max_threads=1  --router.job_timeout=00:02:00  --logging.console.level=INFO  -da
2026-07-01 09:28:07.192 INFO   Freerouting v2.2.5-SNAPSHOT (build-date: 2026-07-01)
2026-07-01 09:28:08.771 INFO   [93D795\294F80] Job '93D795\294F80' started at 2026-07-01T16:28:08.770999592Z.
2026-07-01 09:28:08.837 INFO   [93D795\294F80] Adaptive fanout routing enabled; testing pin orders: distance_to_closest_on_net, inner_first, outer_first.
2026-07-01 09:28:08.845 INFO   [93D795\294F80] Adaptive fanout candidate 'distance_to_closest_on_net' started.
2026-07-01 09:28:08.859 INFO   [93D795\294F80] Fanout stage started on board '27aca90e51a5f771e5bb80fa9761a1e1' with 187 of 212 SMD pins needing fanout (0 already connected, 25 netless).
2026-07-01 09:28:08.915 INFO   New version available: v2.2.4
2026-07-01 09:28:10.614 INFO   [93D795\294F80] Fanout pass #1 on board '46445ef2b9b34e0d73e5e3b02b5cc542' completed in 1.72 seconds with 183 SMD pins fanouted, 1 not routed, 0 insert errors, +120 extra vias (0 SMD pins still to check in pass, ripup costs=100).
2026-07-01 09:28:10.919 INFO   [93D795\294F80] Fanout pass #2 on board '825079e6b8596af4f5a57c26dcb0911f' completed in 0.29 seconds with 20 SMD pins fanouted, 0 not routed, 0 insert errors, +11 extra vias (0 SMD pins still to check in pass, ripup costs=200).
2026-07-01 09:28:11.034 INFO   [93D795\294F80] Fanout pass #3 on board '2074182b5dae9fa1881d099b37999301' completed in 0.11 seconds with 5 SMD pins fanouted, 0 not routed, 0 insert errors, +1 extra via (0 SMD pins still to check in pass, ripup costs=300).
2026-07-01 09:28:11.130 INFO   [93D795\294F80] Fanout pass #4 on board 'f9f4b667edade836b452d9b36a532f27' completed in 0.09 seconds with 3 SMD pins fanouted, 0 not routed, 0 insert errors, +0 extra vias (0 SMD pins still to check in pass, ripup costs=400).
2026-07-01 09:28:11.239 INFO   [93D795\294F80] Fanout pass #5 on board '87c69b721ba813d46fe8239e3393edee' completed in 0.10 seconds with 3 SMD pins fanouted, 0 not routed, 0 insert errors, +0 extra vias (0 SMD pins still to check in pass, ripup costs=500).
2026-07-01 09:28:11.329 INFO   [93D795\294F80] Fanout pass #6 on board '91b24138057f9975ddb9ac9189c63c43' completed in 0.08 seconds with 3 SMD pins fanouted, 0 not routed, 0 insert errors, +0 extra vias (0 SMD pins still to check in pass, ripup costs=600).
2026-07-01 09:28:11.408 INFO   [93D795\294F80] Fanout pass #7 on board 'a92a8a095b11db6d1c71142964884526' completed in 0.07 seconds with 3 SMD pins fanouted, 0 not routed, 0 insert errors, +0 extra vias (0 SMD pins still to check in pass, ripup costs=700).
