case,current_violations,current_unconnected,current_score,v19_violations,v19_unconnected,v19_score,status
Issue508-DAC2020_bm01,88,8,869.7254638671875,105,8,869.7255859375,better
Issue508-DAC2020_bm02,0,0,999.9930419921875,0,0,999.9925537109375,equal
Issue508-DAC2020_bm04,4,2,980.4119262695312,4,2,980.412109375,equal
Issue508-DAC2020_bm05,0,23,766.350341796875,21,37,551.3968505859375,better
Issue508-DAC2020_bm06,8,1,973.4636840820312,11,8,891.8317260742188,better
Issue508-DAC2020_bm07,0,0,999.990234375,1,0,999.9908447265625,better
Issue508-DAC2020_bm08,4,0,967.9971923828125,4,0,967.9976196289062,equal
Issue508-DAC2020_bm09,0,0,999.9964599609375,0,1,991.3759765625,better
Issue508-DAC2020_bm10,0,0,999.9834594726562,0,0,999.98583984375,equal
Issue508-DAC2020_bm11,17,1,972.49169921875,18,6,897.4920654296875,better
